Account Holder|Account ID|Transaction Type|Transaction Amount
John Smith|RBSI-12523421-UK|DEPOSIT|$5324.17
John Smith|RBSI-12523421-UK|DEPOSIT|$7028.27
John Smith|RBSI-12523421-UK|DEPOSIT|$5255.62
John Smith|RBSI-12523421-UK|DEPOSIT|$5606.97
John Smith|RBSI-12523421-UK|DEPOSIT|$2553.70
John Smith|RBSI-12523421-UK|DEPOSIT|$8343.82
John Smith|RBSI-12523421-UK|DEPOSIT|$9801.06
John Smith|RBSI-12523421-UK|DEPOSIT|$5993.38
John Smith|RBSI-12523421-UK|DEPOSIT|$1135.31
John Smith|RBSI-12523421-UK|DEPOSIT|$6775.50
John Smith|RBSI-12523421-UK|DEPOSIT|$6035.54
John Smith|RBSI-12523421-UK|DEPOSIT|$6754.46
John Smith|RBSI-12523421-UK|DEPOSIT|$3553.57
John Smith|RBSI-12523421-UK|DEPOSIT|$5567.64
John Smith|RBSI-12523421-UK|DEPOSIT|$6171.82
John Smith|RBSI-12523421-UK|DEPOSIT|$3593.33
John Smith|RBSI-12523421-UK|DEPOSIT|$3754.43
John Smith|RBSI-12523421-UK|DEPOSIT|$6988.74
John Smith|RBSI-12523421-UK|DEPOSIT|$8070.32
John Smith|RBSI-12523421-UK|DEPOSIT|$7399.87
John Smith|RBSI-12523421-UK|DEPOSIT|$1575.62
John Smith|RBSI-12523421-UK|DEPOSIT|$5399.38
John Smith|RBSI-12523421-UK|DEPOSIT|$2118.77
John Smith|RBSI-12523421-UK|DEPOSIT|$4613.96
John Smith|RBSI-12523421-UK|DEPOSIT|$8028.34
John Smith|RBSI-12523421-UK|DEPOSIT|$3031.11
John Smith|RBSI-12523421-UK|DEPOSIT|$4820.61
John Smith|RBSI-12523421-UK|DEPOSIT|$7318.51
John Smith|RBSI-12523421-UK|DEPOSIT|$4124.11
John Smith|RBSI-12523421-UK|DEPOSIT|$3982.67
John Smith|RBSI-12523421-UK|DEPOSIT|$7748.63
John Smith|RBSI-12523421-UK|DEPOSIT|$1951.09
John Smith|RBSI-12523421-UK|DEPOSIT|$4979.56
John Smith|RBSI-12523421-UK|DEPOSIT|$3182.96
John Smith|RBSI-12523421-UK|DEPOSIT|$5246.36
John Smith|RBSI-12523421-UK|DEPOSIT|$1771.00
John Smith|RBSI-12523421-UK|DEPOSIT|$8651.00
John Smith|RBSI-12523421-UK|DEPOSIT|$9975.37
John Smith|RBSI-12523421-UK|DEPOSIT|$2996.96
John Smith|RBSI-12523421-UK|DEPOSIT|$7827.00
John Smith|RBSI-12523421-UK|DEPOSIT|$5038.68
John Smith|RBSI-12523421-UK|DEPOSIT|$8157.02
John Smith|RBSI-12523421-UK|DEPOSIT|$5311.82
John Smith|RBSI-12523421-UK|DEPOSIT|$9709.15
John Smith|RBSI-12523421-UK|DEPOSIT|$3897.79
John Smith|RBSI-12523421-UK|DEPOSIT|$7283.33
John Smith|RBSI-12523421-UK|DEPOSIT|$1495.72
John Smith|RBSI-12523421-UK|DEPOSIT|$9453.11
John Smith|RBSI-12523421-UK|DEPOSIT|$5470.21
John Smith|RBSI-12523421-UK|DEPOSIT|$4838.71
John Smith|RBSI-12523421-UK|DEPOSIT|$8777.07
John Smith|RBSI-12523421-UK|DEPOSIT|$2301.57
John Smith|RBSI-12523421-UK|DEPOSIT|$8330.28
John Smith|RBSI-12523421-UK|DEPOSIT|$2364.60
John Smith|RBSI-12523421-UK|DEPOSIT|$3577.60
John Smith|RBSI-12523421-UK|DEPOSIT|$1811.08
John Smith|RBSI-12523421-UK|DEPOSIT|$2349.44
John Smith|RBSI-12523421-UK|DEPOSIT|$3602.43
John Smith|RBSI-12523421-UK|DEPOSIT|$9314.92
John Smith|RBSI-12523421-UK|DEPOSIT|$4233.50
John Smith|RBSI-12523421-UK|DEPOSIT|$4257.89
John Smith|RBSI-12523421-UK|DEPOSIT|$9811.83
John Smith|RBSI-12523421-UK|DEPOSIT|$2113.57
John Smith|RBSI-12523421-UK|DEPOSIT|$8329.10
John Smith|RBSI-12523421-UK|DEPOSIT|$3541.03
John Smith|RBSI-12523421-UK|DEPOSIT|$9550.09
John Smith|RBSI-12523421-UK|DEPOSIT|$8500.84
John Smith|RBSI-12523421-UK|DEPOSIT|$9334.61
John Smith|RBSI-12523421-UK|DEPOSIT|$1362.03
John Smith|RBSI-12523421-UK|DEPOSIT|$6631.59
John Smith|RBSI-12523421-UK|DEPOSIT|$5460.63
John Smith|RBSI-12523421-UK|DEPOSIT|$7866.32
John Smith|RBSI-12523421-UK|DEPOSIT|$1418.16
John Smith|RBSI-12523421-UK|DEPOSIT|$9072.05
John Smith|RBSI-12523421-UK|DEPOSIT|$8956.48
John Smith|RBSI-12523421-UK|DEPOSIT|$2994.37
John Smith|RBSI-12523421-UK|DEPOSIT|$3036.56
John Smith|RBSI-12523421-UK|DEPOSIT|$7517.29
John Smith|RBSI-12523421-UK|DEPOSIT|$5646.61
John Smith|RBSI-12523421-UK|DEPOSIT|$1743.48
John Smith|RBSI-12523421-UK|DEPOSIT|$2591.02
John Smith|RBSI-12523421-UK|DEPOSIT|$3363.76
